"ID" "species" "pca" "segclass" "colordiscrim"
"445" "Gymnopithys_leucaspis" -0.78 -0.31 0.21
"446" "Gymnorhina_tibicen" 1.57 2.5 -0.47
"447" "Gymnorhinus_cyanocephalus" -0.26 1.35 -0.45
"448" "Gypaetus_barbatus" NA -0.51 NA
"449" "Haematopus_bachmani" -0.91 -0.79 -0.77
"450" "Haematopus_fuliginosus" -0.89 -0.56 -0.68
"451" "Haematopus_ostralegus" -0.83 -0.7 -0.69
"452" "Haematopus_palliatus" -0.86 -0.79 -0.73
"453" "Todiramphus_sanctus" 0.32 0.44 -0.01
"454" "Haliastur_sphenurus" -0.26 -0.55 -0.3
"455" "Heliornis_fulica" -0.02 0.14 0.48
"456" "Heteromyias_albispecularis" -0.59 -0.65 -0.69
"457" "Hieraaetus_morphnoides" 0.12 -0.32 -0.43
"458" "Hirundo_neoxena" -0.39 0.41 -0.13
"459" "Hirundo_nigricans" 0.14 -0.45 -0.45
"460" "Hirundo_rustica" -0.35 -0.38 -0.47
"461" "Hirundo_tahitica" -0.46 -0.3 -0.05
"462" "Hylacola_cauta" 0.01 -0.25 -0.09
"463" "Hylophilus_aurantiifrons" -0.41 -0.67 -0.48
"464" "Hylophilus_ochraceiceps" -0.69 -0.66 -0.5
"465" "Icteria_virens" -0.46 -0.5 -0.12
"466" "Icterus_bullockii" 2.18 1.78 2.32
"467" "Icterus_galbula" 0.53 1.07 2.5
"468" "Icterus_parisorum" 0.08 -0.03 0
"469" "Icterus_pectoralis" -0.66 -0.39 -0.39
